data	open	high	low	close	volume
2023-05-11 08:00:00	114.8	115.17	114.67	114.95	95546
2023-05-11 11:40:00	114.95	115.87	114.91	115.76	77725
2023-05-11 15:20:00	115.75	115.89	115.47	115.56	43074
2023-05-12 08:00:00	115.6	115.6	115.19	115.51	36471
2023-05-12 11:40:00	115.51	115.51	115.13	115.3	38681
2023-05-12 15:20:00	115.3	115.41	114.91	114.97	37363
2023-05-15 08:00:00	114.6	115.36	114.6	115.06	47722
2023-05-15 11:40:00	115.06	115.16	114.8	114.83	47269
2023-05-15 15:20:00	114.83	115.06	114.8	114.9	31635
2023-05-16 08:00:00	115.22	115.48	115.07	115.36	34963
2023-05-16 11:40:00	115.35	115.39	114.86	114.89	47635
2023-05-16 15:20:00	114.89	115.03	114.57	114.7	48450
2023-05-17 08:00:00	114.85	115.04	114.67	114.92	37012
2023-05-17 11:40:00	114.93	115.29	114.92	115.19	39508
2023-05-17 15:20:00	115.19	115.27	114.91	115.1	40961
2023-05-18 08:00:00	114.94	114.94	114.36	114.36	56400
2023-05-18 11:40:00	114.36	114.44	113.93	114.02	64290
2023-05-18 15:20:00	114.03	114.07	113.71	113.71	47318
2023-05-19 08:00:00	113.54	113.96	113.48	113.78	38190
2023-05-19 11:40:00	113.79	113.84	113.48	113.6	49731
2023-05-19 15:20:00	113.6	114.4	113.56	114.22	51525
2023-05-22 08:00:00	114.31	114.65	114.1	114.46	51446
2023-05-22 11:40:00	114.46	114.46	113.77	113.83	57582
2023-05-22 15:20:00	113.83	114.15	113.82	113.88	37331
2023-05-23 08:00:00	113.84	113.91	113.58	113.66	44691
2023-05-23 11:40:00	113.66	113.77	113.48	113.73	78740
2023-05-23 15:20:00	113.72	113.81	113.56	113.76	47496
2023-05-24 08:00:00	113.7	113.9	113.26	113.86	65106
2023-05-24 11:40:00	113.86	114.12	113.81	114.0	41062
2023-05-24 15:20:00	114.0	114.06	113.52	113.64	43906
2023-05-25 08:00:00	113.52	113.85	113.44	113.72	55831
2023-05-25 11:40:00	113.72	114.2	113.59	114.01	83575
2023-05-25 15:20:00	114.0	114.07	112.96	113.08	57595
2023-05-26 08:00:00	112.81	113.11	112.6	113.05	78058
2023-05-26 11:40:00	113.05	113.35	112.77	113.06	60530
2023-05-26 15:20:00	113.07	113.32	112.88	113.3	47622
2023-05-29 08:00:00	113.19	113.93	113.19	113.87	35098
2023-05-29 11:40:00	113.87	114.11	113.87	114.02	40030
2023-05-29 15:20:00	114.02	114.25	114.01	114.14	25507
2023-05-30 08:00:00	114.23	114.78	114.07	114.71	122096
2023-05-30 11:40:00	114.7	115.08	114.6	115.02	81552
2023-05-30 15:20:00	115.01	115.45	114.86	115.37	64671
2023-05-31 08:00:00	115.93	116.19	115.73	116.07	71579
2023-05-31 11:40:00	116.07	116.21	115.68	115.72	60595
2023-05-31 15:20:00	115.72	116.1	115.61	116.08	67242
2023-06-01 08:00:00	116.0	116.07	115.66	115.93	56026
2023-06-01 11:40:00	115.94	116.43	115.87	116.43	54169
2023-06-01 15:20:00	116.42	116.8	116.37	116.73	63410
2023-06-02 08:00:00	116.72	116.87	116.6	116.76	46296
2023-06-02 11:40:00	116.76	116.9	116.6	116.78	62567
2023-06-02 15:20:00	116.78	117.0	116.67	116.9	47047
2023-06-05 08:00:00	116.48	116.61	116.02	116.03	39433
2023-06-05 11:40:00	116.02	116.19	115.91	116.13	42679
2023-06-05 15:20:00	116.13	116.38	116.0	116.01	37645
2023-06-06 08:00:00	115.39	116.06	115.21	115.82	35711
2023-06-06 11:40:00	115.83	116.05	115.44	115.48	26902
2023-06-06 15:20:00	115.49	115.54	115.09	115.52	33332
2023-06-07 08:00:00	115.82	115.82	115.06	115.36	39447
2023-06-07 11:40:00	115.35	115.42	114.93	115.15	49493
2023-06-07 15:20:00	115.15	115.28	114.13	114.14	65933
2023-06-08 08:00:00	113.95	114.54	113.89	114.47	48780
2023-06-08 11:40:00	114.47	114.62	114.27	114.43	46303
2023-06-08 15:20:00	114.43	115.18	114.43	115.13	40167
2023-06-09 08:00:00	115.01	115.31	114.97	115.11	43536
2023-06-09 11:40:00	115.11	115.75	114.97	115.63	55746
2023-06-09 15:20:00	115.63	115.94	115.38	115.82	48751
2023-06-12 08:00:00	115.71	116.2	115.63	116.07	42961
