Eurex.Bund
Eurex.Bund
ora	high	low	open	close	volume
17032026 040000	126,21	126,12	126,14	126,17	2257
17032026 050000	126,24	126,16	126,17	126,23	1030
17032026 060000	126,24	126,08	126,23	126,10	2203
17032026 070000	126,10	126,05	126,10	126,07	2828
17032026 080000	126,17	126,02	126,06	126,17	35506
17032026 090000	126,35	126,16	126,17	126,30	94860
17032026 100000	126,38	126,24	126,31	126,37	80254
17032026 110000	126,46	126,28	126,37	126,32	95964
17032026 120000	126,44	126,29	126,31	126,41	82893
17032026 130000	126,48	126,38	126,40	126,43	96939
17032026 140000	126,57	126,43	126,43	126,53	149134
17032026 150000	126,58	126,48	126,53	126,52	114052
17032026 160000	126,54	126,40	126,52	126,46	95835
17032026 170000	126,60	126,42	126,45	126,55	90817
17032026 180000	126,58	126,51	126,56	126,52	19736
17032026 190000	126,54	126,47	126,52	126,47	7534
17032026 200000	126,50	126,47	126,48	126,48	6579
17032026 210000	126,50	126,47	126,48	126,49	2109
18032026 010000	126,53	126,46	126,50	126,49	820
18032026 020000	126,55	126,46	126,48	126,52	1225
18032026 030000	126,63	126,50	126,52	126,62	1455
18032026 040000	126,65	126,61	126,62	126,64	1135
18032026 050000	126,70	126,65	126,65	126,68	2039
18032026 060000	126,70	126,65	126,67	126,70	1558
18032026 070000	126,78	126,67	126,69	126,70	7784
18032026 080000	126,75	126,63	126,69	126,72	41297
18032026 090000	126,81	126,66	126,73	126,73	101236
18032026 100000	126,80	126,68	126,74	126,76	71743
19032026 010000	125,84	125,72	125,83	125,77	4209
19032026 020000	125,82	125,73	125,77	125,75	3432
19032026 030000	125,83	125,71	125,74	125,81	1627
19032026 040000	125,84	125,80	125,82	125,82	706
19032026 050000	125,82	125,76	125,82	125,79	967
19032026 060000	125,82	125,74	125,78	125,79	1957
19032026 070000	125,86	125,74	125,78	125,82	8217
19032026 080000	125,93	125,70	125,82	125,84	90518
19032026 090000	125,99	125,82	125,84	125,90	155999
19032026 100000	125,99	125,74	125,90	125,88	248514
19032026 110000	125,88	125,67	125,87	125,69	154535
19032026 120000	125,76	125,64	125,69	125,69	132744
19032026 130000	125,70	125,46	125,68	125,67	241064
19032026 140000	125,95	125,46	125,67	125,93	240318
19032026 150000	126,06	125,87	125,92	125,98	193005
19032026 160000	126,09	125,89	125,97	126,04	156771
19032026 170000	126,12	125,91	126,03	125,98	183328
19032026 180000	125,99	125,88	125,98	125,95	38827
19032026 190000	126,01	125,86	125,94	125,92	18500
19032026 200000	126,39	125,93	125,93	126,14	61173
19032026 210000	126,20	126,12	126,15	126,17	5957
20032026 010000	126,24	126,17	126,17	126,17	1777
20032026 020000	126,27	126,16	126,17	126,19	3075
20032026 030000	126,20	126,05	126,20	126,07	1739
20032026 040000	126,08	126,04	126,07	126,06	1238
20032026 050000	126,11	126,04	126,06	126,04	1525
20032026 060000	126,09	126,02	126,04	126,06	1343
20032026 070000	126,09	125,93	126,06	125,97	6370
20032026 080000	126,16	125,86	125,96	126,14	65156
20032026 090000	126,21	126,07	126,15	126,13	101366
20032026 100000	126,16	125,65	126,13	125,70	153691
20032026 110000	125,75	125,58	125,70	125,73	174709
20032026 120000	125,89	125,72	125,73	125,88	122271
20032026 130000	125,96	125,83	125,89	125,90	127525
20032026 140000	125,96	125,60	125,91	125,61	131384
20032026 150000	125,62	125,21	125,61	125,24	236901
20032026 160000	125,32	125,17	125,25	125,29	172739
20032026 170000	125,32	125,07	125,30	125,12	131429
20032026 180000	125,16	125,05	125,12	125,12	63486
20032026 190000	125,16	125,02	125,12	125,03	24355
20032026 200000	125,07	125,00	125,04	125,03	11928
20032026 210000	125,08	125,02	125,03	125,07	4184
23032026 010000	125,03	124,90	124,99	125,00	5715
23032026 020000	125,11	124,98	124,99	125,06	3090
23032026 030000	125,08	124,93	125,05	124,94	2246
23032026 040000	124,95	124,85	124,94	124,88	3552
23032026 050000	124,92	124,87	124,89	124,91	2419
23032026 060000	124,96	124,85	124,90	124,86	3215
23032026 070000	124,89	124,80	124,85	124,87	8855
23032026 080000	125,02	124,83	124,86	124,85	73654
23032026 090000	125,12	124,83	124,84	124,95	150942
23032026 100000	125,03	124,77	124,95	124,83	145986
23032026 110000	124,99	124,79	124,82	124,89	137161
23032026 120000	126,05	124,85	124,89	125,31	331328
23032026 130000	125,73	125,24	125,30	125,65	186092
23032026 140000	125,82	125,42	125,66	125,79	177176
23032026 150000	125,94	125,62	125,78	125,73	157938
23032026 160000	126,03	125,42	125,73	125,46	166707
23032026 170000	125,57	125,31	125,47	125,48	125908
23032026 180000	125,67	125,43	125,48	125,65	40671
23032026 190000	125,83	125,54	125,64	125,74	21976
23032026 200000	125,74	125,63	125,73	125,63	7543
23032026 210000	125,63	125,56	125,63	125,59	2685
24032026 010000	125,56	125,43	125,54	125,47	3488
24032026 020000	125,46	125,29	125,46	125,34	4439
24032026 030000	125,38	125,25	125,34	125,32	4103
24032026 040000	125,33	125,27	125,31	125,32	1447
24032026 050000	125,32	125,24	125,32	125,30	1082
24032026 060000	125,36	125,27	125,30	125,31	1770
24032026 070000	125,50	125,28	125,30	125,46	9338
24032026 080000	125,60	125,37	125,45	125,58	82912
24032026 090000	125,70	125,41	125,58	125,49	147707
24032026 100000	125,50	125,32	125,49	125,36	125788
24032026 110000	125,52	125,28	125,36	125,52	116386
24032026 120000	125,65	125,47	125,51	125,60	117296
24032026 130000	125,63	125,21	125,61	125,23	113879
24032026 140000	125,31	125,09	125,23	125,19	175487
24032026 150000	125,53	125,19	125,19	125,41	181506
24032026 160000	125,52	125,36	125,42	125,36	123977
24032026 170000	125,44	125,26	125,35	125,27	112120
24032026 180000	125,27	125,02	125,26	125,19	75256
24032026 190000	125,36	125,14	125,20	125,30	19504
24032026 200000	125,37	125,27	125,30	125,28	9075
24032026 210000	125,82	125,21	125,29	125,65	37602
25032026 010000	125,89	125,71	125,82	125,82	3986
25032026 020000	125,92	125,77	125,81	125,77	4879
25032026 030000	125,82	125,72	125,76	125,73	725
25032026 040000	125,78	125,73	125,74	125,74	709
25032026 050000	125,78	125,72	125,74	125,73	961
25032026 060000	125,75	125,68	125,72	125,71	1974
25032026 070000	125,71	125,60	125,70	125,62	4470
25032026 080000	125,74	125,56	125,61	125,63	59904
25032026 090000	125,98	125,60	125,63	125,91	208043
25032026 100000	125,96	125,76	125,91	125,82	146122
25032026 110000	125,96	125,73	125,82	125,94	126959
25032026 120000	126,09	125,92	125,95	126,08	127150
25032026 130000	126,11	125,80	126,08	125,95	155316
25032026 140000	126,09	125,84	125,95	125,86	143654
25032026 150000	125,96	125,79	125,85	125,92	159721
25032026 160000	126,01	125,72	125,92	125,94	143486
25032026 170000	126,05	125,91	125,94	125,95	112820
25032026 180000	126,00	125,86	125,95	125,92	48436
25032026 190000	125,93	125,83	125,93	125,86	9309
25032026 200000	125,88	125,83	125,86	125,88	6420
25032026 210000	125,89	125,81	125,88	125,83	3066
26032026 010000	125,79	125,66	125,79	125,69	2272
26032026 020000	125,72	125,63	125,69	125,70	1647
26032026 030000	125,73	125,64	125,70	125,64	1947
26032026 040000	125,69	125,62	125,65	125,66	773
26032026 050000	125,70	125,66	125,67	125,67	371
26032026 060000	125,68	125,56	125,67	125,56	2089
26032026 070000	125,67	125,54	125,56	125,65	5363
26032026 080000	125,66	125,50	125,65	125,53	56281
26032026 090000	125,55	125,34	125,52	125,35	102136
26032026 100000	125,38	125,27	125,35	125,32	93683
26032026 110000	125,38	125,20	125,32	125,23	112417
26032026 120000	125,29	125,08	125,23	125,09	81715
26032026 130000	125,17	125,04	125,08	125,10	106118
26032026 140000	125,27	125,08	125,10	125,26	176149
26032026 150000	125,27	125,02	125,26	125,12	161271
26032026 160000	125,14	124,94	125,11	124,98	127853
26032026 170000	125,02	124,80	124,98	124,80	126140
26032026 180000	124,85	124,68	124,81	124,69	38305
26032026 190000	124,77	124,69	124,69	124,74	11683
26032026 200000	124,77	124,67	124,75	124,71	10325
26032026 210000	125,11	124,69	124,71	124,76	27081
27032026 010000	124,85	124,58	124,84	124,71	4454
27032026 020000	124,82	124,70	124,71	124,79	2171
27032026 030000	124,87	124,80	124,81	124,80	1366
27032026 040000	124,81	124,67	124,80	124,71	528
27032026 050000	124,73	124,62	124,72	124,65	1109
27032026 060000	124,76	124,62	124,64	124,62	2697
27032026 070000	124,65	124,55	124,61	124,63	6974
27032026 080000	124,80	124,58	124,63	124,65	73490
27032026 090000	124,74	124,33	124,66	124,35	170003
27032026 100000	124,40	124,25	124,36	124,32	162310
27032026 110000	124,42	124,28	124,31	124,29	118579
27032026 120000	124,48	124,27	124,29	124,40	105507
27032026 130000	124,50	124,38	124,39	124,39	88784
27032026 140000	124,50	124,33	124,40	124,42	127924
27032026 150000	124,54	124,42	124,43	124,53	115403
27032026 160000	124,61	124,48	124,53	124,50	128678
27032026 170000	124,64	124,44	124,50	124,61	123332
27032026 180000	124,61	124,49	124,60	124,52	36943
27032026 190000	124,56	124,47	124,53	124,48	13103
27032026 200000	124,50	124,44	124,48	124,48	10409
27032026 210000	124,53	124,44	124,49	124,46	11330
30032026 020000	124,68	124,48	124,54	124,64	4512
30032026 030000	124,73	124,63	124,64	124,70	1233
30032026 040000	124,74	124,62	124,70	124,74	904
30032026 050000	124,82	124,74	124,74	124,76	2867
30032026 060000	124,79	124,74	124,77	124,75	1050
30032026 070000	124,80	124,73	124,75	124,75	4048
30032026 080000	124,88	124,71	124,75	124,73	40386
30032026 090000	124,72	124,56	124,72	124,65	72150
30032026 100000	124,79	124,57	124,65	124,78	78313
30032026 110000	124,78	124,56	124,78	124,58	79017
30032026 120000	124,76	124,57	124,59	124,76	52620
30032026 130000	125,02	124,71	124,76	124,86	115900
30032026 140000	125,06	124,84	124,86	125,04	86179
30032026 150000	125,19	125,04	125,05	125,13	112973
30032026 160000	125,22	125,07	125,12	125,22	93962
30032026 170000	125,25	125,14	125,22	125,19	93514
30032026 180000	125,23	125,17	125,20	125,21	28773
30032026 190000	125,21	125,04	125,21	125,04	13623
30032026 200000	125,06	125,01	125,04	125,02	9046
30032026 210000	125,03	124,96	125,02	125,03	5258
31032026 020000	125,17	124,90	124,95	125,15	2838
31032026 030000	125,33	125,09	125,15	125,27	4880
31032026 040000	125,32	125,25	125,27	125,29	764
31032026 050000	125,35	125,26	125,28	125,28	1447
31032026 060000	125,39	125,29	125,29	125,39	1449
31032026 070000	125,43	125,32	125,38	125,34	5628
31032026 080000	125,42	125,19	125,34	125,23	35671
31032026 090000	125,54	125,05	125,22	125,51	158316
31032026 100000	125,53	125,27	125,51	125,29	106051
31032026 110000	125,34	125,22	125,29	125,24	88896
31032026 120000	125,26	125,01	125,24	125,14	85846
31032026 130000	125,38	125,02	125,15	125,34	138962
31032026 140000	125,47	125,29	125,35	125,40	143497
31032026 150000	125,44	125,31	125,41	125,37	114395
31032026 160000	125,38	125,18	125,37	125,30	142644
31032026 170000	125,53	125,28	125,30	125,49	291578
31032026 180000	125,98	125,44	125,49	125,81	100138
31032026 190000	125,91	125,72	125,81	125,72	32982
31032026 200000	125,83	125,72	125,72	125,76	6942
31032026 210000	125,84	125,70	125,76	125,71	10795
01042026 020000	125,91	125,80	125,81	125,85	2805
01042026 030000	125,87	125,77	125,85	125,83	2468
01042026 040000	125,89	125,83	125,83	125,85	2747
01042026 050000	125,90	125,84	125,85	125,87	496
01042026 060000	125,93	125,87	125,87	125,93	1003
01042026 070000	126,11	125,92	125,94	126,11	9274
01042026 080000	126,24	126,03	126,12	126,23	85799
01042026 090000	126,26	125,97	126,22	125,98	169983
01042026 100000	126,07	125,92	125,97	126,04	122545
01042026 110000	126,08	125,90	126,04	125,92	96715
01042026 120000	126,02	125,86	125,92	126,00	69920
01042026 130000	126,11	125,96	126,01	126,07	74292
01042026 140000	126,09	125,71	126,07	125,73	187506
01042026 150000	125,77	125,62	125,72	125,65	163539
01042026 160000	125,67	125,52	125,64	125,66	165017
01042026 170000	125,75	125,59	125,65	125,71	127278
01042026 180000	125,73	125,60	125,71	125,72	33075
01042026 190000	125,77	125,69	125,72	125,74	12244
01042026 200000	125,74	125,68	125,73	125,70	10190
01042026 210000	125,70	125,65	125,69	125,70	7877
02042026 020000	125,88	125,69	125,71	125,87	2857
02042026 030000	125,88	125,33	125,87	125,37	14971
02042026 040000	125,40	125,31	125,36	125,38	3512
02042026 050000	125,39	125,24	125,38	125,28	3673
02042026 060000	125,28	125,22	125,28	125,22	2552
02042026 070000	125,27	125,19	125,23	125,23	8716
02042026 080000	125,34	125,19	125,24	125,27	47161
02042026 090000	125,39	125,20	125,27	125,39	73639
02042026 100000	125,42	125,28	125,38	125,33	98144
02042026 110000	125,41	125,28	125,33	125,40	77191
02042026 120000	125,42	125,17	125,41	125,18	66128
02042026 130000	125,23	125,07	125,18	125,12	85513
02042026 140000	125,19	125,05	125,12	125,07	84146
02042026 150000	125,38	125,05	125,08	125,36	98186
02042026 160000	125,75	125,35	125,37	125,64	203844
02042026 170000	125,71	125,58	125,64	125,64	104416
02042026 180000	125,65	125,55	125,63	125,55	30491
02042026 190000	125,59	125,53	125,56	125,54	9641
02042026 200000	125,56	125,52	125,54	125,53	6130
02042026 210000	125,61	125,54	125,54	125,60	6859
07042026 020000	125,68	125,41	125,41	125,67	4860
07042026 030000	125,73	125,50	125,67	125,51	2682
07042026 040000	125,53	125,48	125,51	125,52	557
07042026 050000	125,53	125,46	125,52	125,49	1271
07042026 060000	125,52	125,44	125,49	125,50	973
07042026 070000	125,51	125,42	125,51	125,47	3666
07042026 080000	125,48	125,34	125,48	125,44	29739
07042026 090000	125,47	125,31	125,43	125,36	69071
07042026 100000	125,61	125,36	125,36	125,52	110779
07042026 110000	125,64	125,52	125,53	125,56	91822
07042026 120000	125,60	125,25	125,57	125,28	164931
07042026 130000	125,31	125,19	125,28	125,19	72884
07042026 140000	125,28	125,11	125,20	125,17	116928
07042026 150000	125,24	125,01	125,17	125,03	97618
07042026 160000	125,04	124,71	125,03	124,71	173189
07042026 170000	124,80	124,65	124,72	124,75	155601
07042026 180000	124,81	124,72	124,75	124,74	66148
07042026 190000	124,85	124,73	124,74	124,81	11211
07042026 200000	124,89	124,81	124,81	124,85	7119
07042026 210000	125,26	124,83	124,84	125,07	27436
08042026 020000	126,04	125,74	125,80	125,98	23176
08042026 030000	126,05	125,93	125,98	126,03	8698
08042026 040000	126,10	126,00	126,04	126,10	4639
08042026 050000	126,15	126,08	126,10	126,14	4046
08042026 060000	126,29	126,14	126,14	126,26	6793
08042026 070000	126,43	126,22	126,26	126,34	27566
08042026 080000	126,64	126,27	126,33	126,36	170854
08042026 090000	126,46	126,22	126,36	126,39	194474
08042026 100000	126,50	126,28	126,38	126,40	157314
08042026 110000	126,46	126,15	126,39	126,23	166374
08042026 120000	126,47	126,22	126,24	126,42	88706
08042026 130000	126,47	126,36	126,42	126,42	112272
08042026 140000	126,57	126,30	126,43	126,53	154929
08042026 150000	126,60	126,36	126,53	126,37	156167
08042026 160000	126,44	126,13	126,37	126,21	158165
08042026 170000	126,28	126,17	126,21	126,17	103799
08042026 180000	126,25	126,15	126,17	126,22	37634
08042026 190000	126,26	126,16	126,23	126,21	15243
08042026 200000	126,27	126,00	126,20	126,04	15971
08042026 210000	126,15	126,00	126,04	126,14	6715
09042026 020000	126,09	125,93	126,01	125,97	3383
09042026 030000	125,99	125,90	125,97	125,99	5156
09042026 040000	126,00	125,95	125,99	125,95	1646
09042026 050000	126,00	125,94	125,94	125,99	1177
09042026 060000	126,04	126,00	126,00	126,03	941
09042026 070000	126,09	126,01	126,04	126,05	3203
09042026 080000	126,10	125,93	126,05	126,01	33476
09042026 090000	126,01	125,83	126,01	125,94	101841
09042026 100000	125,94	125,67	125,94	125,68	111919
09042026 110000	125,83	125,67	125,69	125,81	88545
09042026 120000	125,83	125,74	125,82	125,75	69236
09042026 130000	125,87	125,74	125,76	125,86	70888
09042026 140000	125,88	125,57	125,86	125,58	147248
09042026 150000	125,62	125,41	125,58	125,44	142860
09042026 160000	125,48	125,32	125,44	125,36	119713
09042026 170000	125,78	125,31	125,36	125,75	191512
09042026 180000	125,83	125,74	125,75	125,81	44386
09042026 190000	125,88	125,80	125,81	125,82	14330
09042026 200000	125,83	125,61	125,82	125,61	18076
09042026 210000	125,64	125,57	125,62	125,58	8590
09042026 220000	125,58	125,58	125,58	125,58	1
10042026 020000	125,62	125,52	125,59	125,55	2463
10042026 030000	125,59	125,53	125,56	125,55	2137
10042026 040000	125,55	125,52	125,55	125,53	648
10042026 050000	125,55	125,49	125,53	125,52	1059
10042026 060000	125,52	125,49	125,52	125,49	1244
10042026 070000	125,49	125,41	125,49	125,46	3649
