Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2023-09-06	0.2	174.0	3117.0
2023-09-07	0.2	174.0	3291.0
2023-09-08	-0.2	-226.0	3065.0
2023-09-12	0.0	0.0	3065.0
2023-09-13	0.2	174.0	3239.0
2023-09-14	0.0	0.0	3239.0
2023-09-15	-0.053	-79.33	3159.67
2023-09-19	0.0	0.0	3159.67
2023-09-20	0.0	0.0	3159.67
2023-09-21	0.2	174.0	3333.67
2023-09-22	-0.2	-226.0	3107.67
2023-09-26	0.0	0.0	3107.67
2023-09-27	0.2	174.0	3281.67
2023-09-28	0.2	174.0	3455.67
2023-09-29	0.2	174.0	3629.67
2023-10-03	0.0	0.0	3629.67
2023-10-04	0.2	174.0	3803.67
2023-10-05	0.0	0.0	3803.67
2023-10-06	0.2	174.0	3977.67
2023-10-10	0.0	0.0	3977.67
2023-10-11	0.2	174.0	4151.67
2023-10-12	0.2	174.0	4325.67
2023-10-13	0.2	174.0	4499.67
2023-10-17	0.2	174.0	4673.67
2023-10-18	0.2	174.0	4847.67
2023-10-19	0.2	174.0	5021.67
2023-10-20	0.2	174.0	5195.67
2023-10-24	0.0	0.0	5195.67
2023-10-25	0.0	0.0	5195.67
2023-10-26	0.0	0.0	5195.67
2023-10-27	0.0	0.0	5195.67
2023-10-31	-0.2	-226.0	4969.67
2023-11-01	0.2	174.0	5143.67
2023-11-02	0.2	174.0	5317.67
2023-11-03	0.2	174.0	5491.67
2023-11-07	0.0	0.0	5491.67
2023-11-08	0.2	174.0	5665.67
2023-11-09	0.2	174.0	5839.67
2023-11-10	0.0	0.0	5839.67
2023-11-14	-0.2	-226.0	5613.67
2023-11-15	0.2	174.0	5787.67
2023-11-16	0.2	174.0	5961.67
2023-11-17	0.2	174.0	6135.67
2023-11-21	0.0	0.0	6135.67
2023-11-22	0.0	0.0	6135.67
2023-11-23	0.0	0.0	6135.67
2023-11-24	0.0	0.0	6135.67
2023-11-28	0.0	0.0	6135.67
2023-11-29	0.2	174.0	6309.67
2023-11-30	0.2	174.0	6483.67
2023-12-01	0.2	174.0	6657.67
2023-12-05	0.2	174.0	6831.67
2023-12-06	0.2	174.0	7005.67
2023-12-07	0.2	174.0	7179.67
2023-12-08	0.2	174.0	7353.67
2023-12-12	0.0	0.0	7353.67
2023-12-13	0.0	0.0	7353.67
2023-12-14	0.2	174.0	7527.67
2023-12-15	0.2	174.0	7701.67
2023-12-19	0.2	174.0	7875.67
2023-12-20	0.2	174.0	8049.67
2023-12-21	0.2	174.0	8223.67
2023-12-22	0.2	174.0	8397.67
2023-12-27	-0.2	-226.0	8171.67
2023-12-28	0.0	0.0	8171.67
2023-12-29	0.0	0.0	8171.67
2024-01-02	0.2	174.0	8345.67
2024-01-03	0.2	174.0	8519.67
2024-01-04	0.2	174.0	8693.67
2024-01-05	0.2	174.0	8867.67
2024-01-09	0.0	0.0	8867.67
2024-01-10	0.0	0.0	8867.67
2024-01-11	0.0	0.0	8867.67
2024-01-12	0.0	0.0	8867.67
2024-01-16	0.0	0.0	8867.67
2024-01-17	-0.032	-57.67	8810.0
2024-01-18	-0.2	-226.0	8584.0
2024-01-19	-0.2	-226.0	8358.0
2024-01-23	0.0	0.0	8358.0
2024-01-24	0.0	0.0	8358.0
2024-01-25	0.0	0.0	8358.0
2024-01-26	0.0	0.0	8358.0
2024-01-30	-0.2	-226.0	8132.0
2024-01-31	0.0	0.0	8132.0
2024-02-01	0.0	0.0	8132.0
2024-02-02	0.0	0.0	8132.0
2024-02-06	0.0	0.0	8132.0
2024-02-07	0.0	0.0	8132.0
2024-02-08	0.0	0.0	8132.0
2024-02-09	0.2	174.0	8306.0
2024-02-13	0.0	0.0	8306.0
2024-02-14	0.0	0.0	8306.0
2024-02-15	-0.2	-226.0	8080.0
2024-02-16	0.0	0.0	8080.0
2024-02-20	0.0	0.0	8080.0
2024-02-21	0.0	0.0	8080.0
2024-02-22	0.0	0.0	8080.0
2024-02-23	0.0	0.0	8080.0
2024-02-27	0.0	0.0	8080.0
2024-02-28	0.0	0.0	8080.0
2024-02-29	0.0	0.0	8080.0
2024-03-01	0.0	0.0	8080.0
2024-03-05	0.2	174.0	8254.0
2024-03-06	0.2	174.0	8428.0
2024-03-07	0.2	174.0	8602.0
2024-03-08	0.2	174.0	8776.0
2024-03-12	0.0	0.0	8776.0
2024-03-13	-0.2	-226.0	8550.0
2024-03-14	-0.2	-226.0	8324.0
2024-03-15	0.0	0.0	8324.0
2024-03-19	0.0	0.0	8324.0
2024-03-20	0.0	0.0	8324.0
2024-03-21	0.0	0.0	8324.0
2024-03-22	0.0	0.0	8324.0
2024-03-26	0.0	0.0	8324.0
2024-03-27	0.0	0.0	8324.0
2024-03-28	0.0	0.0	8324.0
2024-04-02	0.2	174.0	8498.0
2024-04-03	0.2	174.0	8672.0
2024-04-04	0.2	174.0	8846.0
2024-04-05	0.2	174.0	9020.0
2024-04-09	0.051	24.83	9044.83
2024-04-10	0.2	174.0	9218.83
2024-04-11	-0.2	-226.0	8992.83
2024-04-12	-0.2	-226.0	8766.83
2024-04-16	0.2	174.0	8940.83
2024-04-17	0.2	174.0	9114.83
2024-04-18	0.077	50.67	9165.5
2024-04-19	0.2	174.0	9339.5
2024-04-23	0.0	0.0	9339.5
2024-04-24	0.2	174.0	9513.5
2024-04-25	0.2	174.0	9687.5
2024-04-26	0.2	174.0	9861.5
