Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2023-09-06	0.0	0.0	-260.0
2023-09-07	0.0	0.0	-260.0
2023-09-08	0.0	0.0	-260.0
2023-09-12	0.0	0.0	-260.0
2023-09-13	0.0	0.0	-260.0
2023-09-14	0.0	0.0	-260.0
2023-09-15	-0.07	-76.0	-336.0
2023-09-19	0.0	0.0	-336.0
2023-09-20	0.0	0.0	-336.0
2023-09-21	-0.13	-136.0	-472.0
2023-09-22	-0.3	-306.0	-778.0
2023-09-26	0.0	0.0	-778.0
2023-09-27	0.4	394.0	-384.0
2023-09-28	0.0	0.0	-384.0
2023-09-29	0.0	0.0	-384.0
2023-10-03	0.0	0.0	-384.0
2023-10-04	-0.3	-306.0	-690.0
2023-10-05	0.0	0.0	-690.0
2023-10-06	0.4	394.0	-296.0
2023-10-10	0.0	0.0	-296.0
2023-10-11	0.0	0.0	-296.0
2023-10-12	0.0	0.0	-296.0
2023-10-13	0.4	394.0	98.0
2023-10-17	0.4	394.0	492.0
2023-10-18	0.0	0.0	492.0
2023-10-19	0.0	0.0	492.0
2023-10-20	0.0	0.0	492.0
2023-10-24	0.0	0.0	492.0
2023-10-25	0.0	0.0	492.0
2023-10-26	0.0	0.0	492.0
2023-10-27	0.0	0.0	492.0
2023-10-31	-0.3	-306.0	186.0
2023-11-01	0.11	104.0	290.0
2023-11-02	0.0	0.0	290.0
2023-11-03	0.0	0.0	290.0
2023-11-07	0.0	0.0	290.0
2023-11-08	0.21	204.0	494.0
2023-11-09	-0.18	-186.0	308.0
2023-11-10	0.0	0.0	308.0
2023-11-14	0.2	194.0	502.0
2023-11-15	0.0	0.0	502.0
2023-11-16	0.0	0.0	502.0
2023-11-17	0.0	0.0	502.0
2023-11-21	0.0	0.0	502.0
2023-11-22	0.0	0.0	502.0
2023-11-23	0.0	0.0	502.0
2023-11-24	0.0	0.0	502.0
2023-11-28	0.0	0.0	502.0
2023-11-29	0.0	0.0	502.0
2023-11-30	0.0	0.0	502.0
2023-12-01	0.0	0.0	502.0
2023-12-05	0.4	394.0	896.0
2023-12-06	0.0	0.0	896.0
2023-12-07	0.0	0.0	896.0
2023-12-08	0.0	0.0	896.0
2023-12-12	0.0	0.0	896.0
2023-12-13	0.0	0.0	896.0
2023-12-14	0.0	0.0	896.0
2023-12-15	0.0	0.0	896.0
2023-12-19	0.0	0.0	896.0
2023-12-20	0.0	0.0	896.0
2023-12-21	0.0	0.0	896.0
2023-12-22	0.0	0.0	896.0
2023-12-27	-0.3	-306.0	590.0
2023-12-28	0.0	0.0	590.0
2023-12-29	0.0	0.0	590.0
2024-01-02	0.0	0.0	590.0
2024-01-03	0.4	394.0	984.0
2024-01-04	0.0	0.0	984.0
2024-01-05	0.0	0.0	984.0
2024-01-09	0.0	0.0	984.0
2024-01-10	0.0	0.0	984.0
