pnl,dir,ix,ts,cumul,year
-0.43,SHORT,9809,2021-02-11 09:00:00,1.1299999999999994,2021
0.44,SHORT,9828,2021-02-12 14:00:00,1.5699999999999994,2021
-0.28,LONG,9830,2021-02-12 16:00:00,1.2899999999999994,2021
-0.29,LONG,9836,2021-02-15 08:00:00,0.9999999999999993,2021
-0.29,LONG,9854,2021-02-16 12:00:00,0.7099999999999993,2021
-0.29,LONG,9862,2021-02-16 20:00:00,0.4199999999999993,2021
-0.32,LONG,9885,2021-02-18 15:00:00,0.09999999999999931,2021
-0.06,LONG,9892,2021-02-19 08:00:00,0.039999999999999314,2021
-0.34,LONG,9903,2021-02-19 19:00:00,-0.3000000000000007,2021
0.52,LONG,9909,2021-02-22 11:00:00,0.2199999999999993,2021
0.59,SHORT,9927,2021-02-23 15:00:00,0.8099999999999993,2021
-0.13,LONG,9942,2021-02-24 16:00:00,0.6799999999999993,2021
-0.45,LONG,9956,2021-02-25 16:00:00,0.22999999999999926,2021
-0.52,LONG,9959,2021-02-25 19:00:00,-0.29000000000000076,2021
0.41,SHORT,11183,2021-07-01 11:00:00,0.11999999999999922,2021
0.41,LONG,11187,2021-07-01 15:00:00,0.5299999999999991,2021
-0.27,SHORT,11198,2021-07-02 12:00:00,0.2599999999999991,2021
0.41,SHORT,11216,2021-07-05 16:00:00,0.669999999999999,2021
0.35,LONG,11224,2021-07-06 10:00:00,1.0199999999999991,2021
-0.25,SHORT,11229,2021-07-06 15:00:00,0.7699999999999991,2021
-0.27,SHORT,11231,2021-07-06 17:00:00,0.4999999999999991,2021
-0.28,SHORT,11238,2021-07-07 10:00:00,0.21999999999999909,2021
-0.3,SHORT,11252,2021-07-08 10:00:00,-0.0800000000000009,2021
0.47,SHORT,11256,2021-07-08 14:00:00,0.38999999999999907,2021
-0.42,SHORT,11320,2021-07-15 08:00:00,-0.030000000000000915,2021
-0.29,SHORT,11354,2021-07-19 14:00:00,-0.3200000000000009,2021
-0.31,SHORT,11365,2021-07-20 11:00:00,-0.6300000000000009,2021
0.49,SHORT,11378,2021-07-21 10:00:00,-0.1400000000000009,2021
-0.0,SHORT,11400,2021-07-22 18:00:00,-0.1400000000000009,2021
0.53,SHORT,11425,2021-07-26 15:00:00,0.3899999999999991,2021
-0.1,SHORT,11439,2021-07-27 15:00:00,0.28999999999999915,2021
0.01,SHORT,11491,2021-08-02 11:00:00,0.29999999999999916,2021
-0.3,SHORT,11521,2021-08-04 13:00:00,-8.326672684688674e-16,2021
0.41,SHORT,11524,2021-08-04 16:00:00,0.40999999999999914,2021
0.46,SHORT,11545,2021-08-06 09:00:00,0.8699999999999992,2021
-0.33,LONG,11588,2021-08-11 10:00:00,0.5399999999999991,2021
0.45,LONG,11597,2021-08-11 19:00:00,0.9899999999999991,2021
0.46,LONG,11628,2021-08-16 08:00:00,1.449999999999999,2021
0.04,SHORT,11676,2021-08-19 14:00:00,1.489999999999999,2021
0.43,SHORT,11700,2021-08-23 10:00:00,1.919999999999999,2021
-0.27,LONG,11730,2021-08-25 12:00:00,1.649999999999999,2021
-0.27,LONG,11734,2021-08-25 16:00:00,1.379999999999999,2021
0.19,LONG,11775,2021-08-30 15:00:00,1.569999999999999,2021
0.48,SHORT,11786,2021-08-31 12:00:00,2.049999999999999,2021
-0.32,LONG,11791,2021-08-31 17:00:00,1.7299999999999989,2021
0.48,SHORT,11831,2021-09-03 15:00:00,2.209999999999999,2021
-0.3,LONG,11851,2021-09-07 08:00:00,1.909999999999999,2021
-0.44,LONG,11854,2021-09-07 11:00:00,1.469999999999999,2021
0.66,LONG,11890,2021-09-09 19:00:00,2.129999999999999,2021
0.54,SHORT,11896,2021-09-10 11:00:00,2.669999999999999,2021
0.44,LONG,11928,2021-09-14 15:00:00,3.109999999999999,2021
-0.45,LONG,11949,2021-09-16 08:00:00,2.659999999999999,2021
-0.05,LONG,11964,2021-09-17 09:00:00,2.609999999999999,2021
0.47,LONG,11979,2021-09-20 10:00:00,3.079999999999999,2021
0.03,SHORT,12020,2021-09-23 09:00:00,3.109999999999999,2021
-0.37,LONG,12027,2021-09-23 16:00:00,2.739999999999999,2021
-0.39,LONG,12033,2021-09-24 08:00:00,2.3499999999999988,2021
0.56,LONG,12082,2021-09-29 15:00:00,2.909999999999999,2021
-0.25,LONG,12096,2021-09-30 15:00:00,2.659999999999999,2021
0.54,LONG,12103,2021-10-01 08:00:00,3.199999999999999,2021
